Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,Area,Area_Pct,Peak_Height
93,C16H20N2,8.102,240.162,,FBF,72.14,FBF,,,
94,C13H21N5O,20.941,263.1743,,FBF,65.27,FBF,,,
95,C8H13N2O5P,1.448,248.0572,,FBF,71.2,FBF,,,
96,C8H12NO6P,9.609,249.0388,,FBF,72.73,FBF,,,
97,C25H22N4O8,9.87,506.1407,,FBF,55.09,FBF,,,
98,C12H13NO2,0.409,203.0945,,FBF,74.67,FBF,,,
99,C43H48N4O6,4.437,716.3591,,FBF,74.37,FBF,34988729.0,25.39,6894655.0
100,C21H24N2O4,8.7,368.1741,,FBF,71.3,FBF,,,
101,C24H26N2O5,6.387,422.1855,,FBF,53.42,FBF,,,
102,C24H26N2O4,9.142,406.1855,,FBF,66.74,FBF,,,
103,C13H9NO2,5.451,211.0651,,FBF,67.94,FBF,,,
104,C29H37N3O2,4.359,459.2883,,FBF,58.87,FBF,,,
105,C21H23N2O3,5.477,351.1736,,FBF,52.62,FBF,,,
106,C12H12N2O2,17.303,216.0897,,FBF,86.99,FBF,,,
107,C29H34N4,4.932,438.2792,,FBF,70.7,FBF,,,
108,C30H20N4O6,6.257,532.1364,,FBF,55.4,FBF,,,
109,C20H24N2O3,13.535,340.1788,,FBF,59.75,FBF,,,
110,C19H22N2O2,2.643,310.1705,,FBF,71.99,FBF,70324855.0,51.03,4479602.0
111,C26H37N5O2,10.597,451.2949,,FBF,56.44,FBF,,,
112,C30H37N5O5,5.14,547.2779,,FBF,50.88,FBF,,,
113,C21H27N3O2,8.57,353.2069,,FBF,63.87,FBF,,,
114,C16H21NO6,7.998,323.1345,,FBF,82.24,FBF,,,
115,C19H20N2O3,2.747,324.1445,,FBF,73.65,FBF,,,
116,C8H7NO,3.085,133.0525,,FBF,86.7,FBF,,,
117,C17H18N4O,7.426,294.1475,,FBF,74.59,FBF,,,
118,C32H40N4,5.062,480.3273,,FBF,56.91,FBF,,,
119,C16H22N4O3,6.205,318.1706,,FBF,78.22,FBF,,,
120,C24H30N4,10.337,374.2436,,FBF,51.84,FBF,,,
121,C20H16N2O4,13.015,348.1113,,FBF,64.53,FBF,,,
122,C23H23N3O5,7.92,421.1668,,FBF,61.36,FBF,,,
123,C17H18N2O,2.149,266.1419,,FBF,88.83,FBF,,,
124,C16H19NO7,12.027,337.1148,,FBF,79.17,FBF,,,
125,C16H23N5O,0.409,301.1889,,FBF,88.86,FBF,,,
126,C40H48N4O2,5.971,616.3808,,FBF,62.7,FBF,,,
127,C40H44N4O,5.322,596.3503,,FBF,55.54,FBF,,,
128,C40H48N4O3,4.828,632.3726,,FBF,66.25,FBF,,,
129,C18H22N2O8,7.244,394.1385,,FBF,50.13,FBF,1655591.0,1.2,404359.0
130,C12H14N2O,0.409,202.1108,,FBF,58.45,FBF,,,
131,C11H13N3O,4.671,203.1048,,FBF,81.5,FBF,21727273.0,15.77,4512959.0
132,C18H11NO4,1.344,305.0674,,FBF,57.41,FBF,,,
133,C41H48N2O8,12.651,696.3372,,FBF,61.58,FBF,,,
134,C20H15NO5,8.934,349.0978,,FBF,66.78,FBF,,,
135,C21H17NO5,8.96,363.1115,,FBF,87.76,FBF,,,
136,C20H15NO4,9.402,333.1021,,FBF,87.19,FBF,,,
137,C18H18N2O8,9.896,390.1029,,FBF,51.75,FBF,,,
138,C14H16N4O4,1.967,304.115,,FBF,76.8,FBF,,,
139,C20H19NO6,9.87,369.1183,,FBF,52.61,FBF,,,
140,C38H44N2O6,8.206,624.323,,FBF,54.7,FBF,,,
141,C29H38N2O4,5.244,478.2829,,FBF,69.96,FBF,,,
142,C13H17NO3,5.867,235.1211,,FBF,60.67,FBF,,,
143,C39H40N2O6,14.938,632.2847,,FBF,50.64,FBF,,,
144,C19H24N2O2,6.439,312.1863,,FBF,55.45,FBF,,,
145,C10H13NO5S,6.179,259.0534,,FBF,51.69,FBF,,,
146,C16H17NO3,8.908,271.1219,,FBF,67.73,FBF,,,
147,C17H19NO4,16.758,301.1333,,FBF,66.61,FBF,,,
148,C29H41NO4,3.631,467.3004,,FBF,58.22,FBF,,,
149,C18H21NO3,10.883,299.1509,,FBF,70.61,FBF,,,
150,C18H23NO3,4.281,301.1661,,FBF,51.43,FBF,65500642.0,47.53,8732868.0
151,C21H27NO5,2.695,373.1922,,FBF,52.22,FBF,,,
152,C19H25NO,21.72,283.1941,,FBF,74.04,FBF,,,
153,C14H10N2O2,18.784,238.0721,,FBF,82.83,FBF,,,
154,C10H15NO2,0.747,181.11,,FBF,98.97,FBF,,,
155,C11H18NO,6.569,180.1384,,FBF,79.98,FBF,,,
156,C8H11NO2,0.383,153.0779,,FBF,73.06,FBF,3497639.0,2.54,966956.0
157,C9H13N,0.409,135.104,,FBF,72.45,FBF,,,
158,C10H15N5,0.409,205.1314,,FBF,72.16,FBF,,,
159,C8H11NO4S,1.448,217.0407,,FBF,64.86,FBF,,,
160,C22H24NO4,4.567,366.1721,,FBF,55.7,FBF,,,
161,C21H25NO4,4.541,355.1807,,FBF,62.47,FBF,27697614.0,20.1,4488337.0
162,C22H25NO6,4.567,399.1682,,FBF,79.12,FBF,,,
163,C21H32N6O3,3.293,416.2521,,FBF,76.67,FBF,,,
164,C12H13NO2S,6.751,235.0664,,FBF,96.1,FBF,,,
165,C12H16N2O2,0.669,220.1226,,FBF,68.8,FBF,,,
166,C6H5Cl2N,6.751,160.9787,,FBF,52.61,FBF,,,
167,C6H7NO,0.383,109.0526,,FBF,64.72,FBF,3497639.0,2.54,966956.0
168,C14H15N3,1.084,225.1258,,FBF,54.34,FBF,,,
169,C8H12N2,1.136,136.0988,,FBF,68.26,FBF,,,
170,C8H8O2,0.383,136.0527,,FBF,66.8,FBF,3497639.0,2.54,966956.0
171,C15H22O2,9.116,234.1612,,FBF,69.91,FBF,,,
172,C12H17NO,6.283,191.1308,,FBF,85.19,FBF,,,
173,C15H24N2O4S,9.402,328.147,,FBF,85.98,FBF,,,
174,C20H22N8O5,3.007,454.1724,,FBF,63.53,FBF,135352463.0,98.21,8155244.0
175,C20H22N2O8,5.036,418.1362,,FBF,78.17,FBF,,,
176,C9H12N2O3,0.461,196.0856,,FBF,74.72,FBF,,,
177,C21H30N4O4,10.987,402.2258,,FBF,91.16,FBF,,,
178,C24H34N4O5S,11.325,490.2288,,FBF,55.64,FBF,,,
179,C18H30O3S,3.293,326.1933,,FBF,80.13,FBF,,,
180,C17H28O3S,2.409,312.1775,,FBF,81.12,FBF,,,
181,C15H20N2O4S,10.831,324.1153,,FBF,62.95,FBF,,,
182,C6H8ClN3O4S2,6.751,284.965,,FBF,70.51,FBF,,,
183,C13H19NO4S,2.383,285.1056,,FBF,63.42,FBF,,,
184,C14H12N4O2S,6.725,300.0679,,FBF,55.42,FBF,,,
185,C7H9NO2S,0.435,171.037,,FBF,60.91,FBF,,,
186,C15H22O3,13.275,250.1547,,FBF,56.25,FBF,,,
187,C14H21NO2,0.409,235.1562,,FBF,77.16,FBF,,,
188,C11H16NO4PS,0.409,289.0556,,FBF,57.3,FBF,,,
189,C16H26N2O3,10.883,294.1963,,FBF,69.7,FBF,,,
190,C24H38O4,15.042,390.2776,,FBF,93.1,FBF,,,
191,C7H5ClO2,13.327,155.9974,,FBF,78.05,FBF,,,
192,C7H7NO4,2.097,169.0371,,FBF,77.35,FBF,,,
193,C15H22N4O3,2.175,306.1674,,FBF,74.43,FBF,,,
194,C23H29ClFN3O4,3.397,465.1841,,FBF,67.09,FBF,,,
195,C16H21NO5,5.451,307.1404,,FBF,70.05,FBF,,,
196,C22H34O3,10.493,346.249,,FBF,72.2,FBF,,,
197,C18H19ClN2O2,0.435,330.112,,FBF,52.02,FBF,,,
198,C27H29N3O9,3.735,539.1907,,FBF,84.69,FBF,,,
199,C13H18N4O3,3.943,278.1397,,FBF,62.5,FBF,,,
200,C20H16O4,2.253,320.1074,,FBF,60.69,FBF,,,
201,C22H18N6,4.437,366.1616,,FBF,50.29,FBF,34988729.0,25.39,6894655.0
202,C14H12O4,7.088,244.0714,,FBF,73.78,FBF,,,
203,C13H10O,7.634,182.0736,,FBF,76.17,FBF,,,
204,C20H21ClO4,9.896,360.1101,,FBF,50.41,FBF,,,
205,C16H14O3,9.922,254.0964,,FBF,52.27,FBF,,,
206,C22H28N2O3,7.088,368.2125,,FBF,70.41,FBF,,,
207,C17H19N5,3.995,293.1616,,FBF,62.34,FBF,,,
208,C18H15ClN2O,8.466,310.0868,,FBF,71.5,FBF,,,
209,C17H22N2O,8.05,270.1724,,FBF,72.36,FBF,,,
210,C18H15Cl4N3O4,5.451,476.9821,,FBF,61.11,FBF,,,
211,C12H14O3,0.383,206.0946,,FBF,84.41,FBF,3497639.0,2.54,966956.0
212,C12H16O3,5.244,208.1112,,FBF,50.95,FBF,,,
213,C9H12O2,9.116,152.0828,,FBF,68.4,FBF,,,
214,C7H4Cl2O4,1.084,221.9482,,FBF,61.53,FBF,,,
215,C15H16O4,6.179,260.1032,,FBF,70.7,FBF,,,
216,C32H42O8,3.943,554.2897,,FBF,56.4,FBF,,,
217,C20H25NO2,22.083,311.1873,,FBF,50.21,FBF,,,
218,C19H14O3,1.344,290.0964,,FBF,62.49,FBF,,,
219,C24H26O2,8.622,346.1917,,FBF,67.65,FBF,,,
220,C28H33ClN2,7.218,432.2341,,FBF,63.48,FBF,,,
221,C26H28N2,15.562,368.2224,,FBF,50.59,FBF,,,
222,C18H22N2,9.35,266.1782,,FBF,61.28,FBF,,,
223,C26H26F2N2,7.244,404.2025,,FBF,51.67,FBF,1655591.0,1.2,404359.0
224,C16H13F2N3O,2.097,301.1033,,FBF,83.15,FBF,,,
225,C21H27ClN2O2,10.337,374.1755,,FBF,71.69,FBF,,,
226,C21H24O8,7.244,404.1475,,FBF,94.95,FBF,1655591.0,1.2,404359.0
227,C25H27ClN2,6.257,390.1893,,FBF,58.84,FBF,,,
228,C24H27NO2,19.174,361.2025,,FBF,54.04,FBF,,,
229,C28H29F2N3O,3.371,461.2284,,FBF,66.97,FBF,,,
230,C23H29NO3,15.64,367.2118,,FBF,61.69,FBF,,,
231,C32H41NO2,5.062,471.3112,,FBF,56.06,FBF,,,
232,C25H30NO3,7.92,392.2225,,FBF,98.91,FBF,,,
233,C9H10O3,0.409,166.0636,,FBF,83.88,FBF,,,
234,C9H10O4,0.383,182.0578,,FBF,78.07,FBF,3497639.0,2.54,966956.0
235,C7H8O2,1.786,124.0535,,FBF,68.13,FBF,,,
236,C23H38O3,10.129,362.2815,,FBF,71.62,FBF,,,
237,C7H8O,5.581,108.0572,,FBF,78.22,FBF,,,
238,C19H20O4,9.818,312.1378,,FBF,81.73,FBF,,,
239,C11H14O3,7.946,194.0931,,FBF,66.56,FBF,,,
240,C12H14O4,7.062,222.0892,,FBF,90.25,FBF,,,
241,C16H22O4,9.87,278.152,,FBF,95.55,FBF,,,
242,C12H16O5,5.893,240.0978,,FBF,55.55,FBF,,,
243,C13H16O10,6.828,332.0733,,FBF,55.29,FBF,,,
244,C7H8O3,0.981,140.0478,,FBF,63.75,FBF,,,
245,C10H14O4,2.721,198.0876,,FBF,53.43,FBF,,,
246,C15H18O10,0.383,358.0917,,FBF,61.09,FBF,3497639.0,2.54,966956.0
247,C10H12O4,0.409,196.0741,,FBF,80.22,FBF,,,
248,C14H18O4,8.492,250.1201,,FBF,78.12,FBF,,,
249,C12H16O6,3.527,256.0952,,FBF,61.47,FBF,,,
250,C7H12O6,1.552,192.0643,,FBF,86.99,FBF,,,
251,C8H6O5,0.435,182.0209,,FBF,80.84,FBF,,,
252,C22H23NO6,4.567,397.1548,,FBF,61.76,FBF,,,
253,C9H12N2O,1.396,164.0948,,FBF,62.44,FBF,,,
254,C16H8Cl2F6N2O3,5.477,459.9798,,FBF,52.57,FBF,,,
255,C19H20N6O,10.181,348.1703,,FBF,77.09,FBF,,,
256,C9H11ClN2O,6.777,198.0567,,FBF,69.21,FBF,,,
257,C12H16Cl2N2O,1.604,274.0663,,FBF,54.33,FBF,,,
258,C13H9Cl3N2O,0.435,313.9757,,FBF,52.98,FBF,,,
259,C16H10O,0.825,218.0746,,FBF,61.19,FBF,,,
260,C7H4Cl2O3,12.963,205.954,,FBF,66.9,FBF,,,
261,C11H8,5.763,140.0628,,FBF,82.11,FBF,,,
262,C17H27N3O4S,8.674,369.1741,,FBF,56.71,FBF,,,
263,C19H23N3,10.883,293.1886,,FBF,84.85,FBF,,,
264,C11H9Cl2NO2,5.322,256.9991,,FBF,56.82,FBF,,,
265,C24H34N2O,3.631,366.2674,,FBF,85.04,FBF,,,
266,C20H18O2,1.838,290.1336,,FBF,60.5,FBF,,,
267,C12H17NO3,0.383,223.1216,,FBF,66.46,FBF,3497639.0,2.54,966956.0
268,C9H5ClN4,0.409,204.0209,,FBF,56.38,FBF,,,
269,C17H27NO3,4.125,293.1965,,FBF,52.96,FBF,,,
270,C30H32N2O2,4.906,452.2475,,FBF,67.19,FBF,,,
271,C11H14N2O4,7.868,238.0952,,FBF,86.02,FBF,,,
272,C13H17ClN2O2,21.226,268.0972,,FBF,57.02,FBF,,,
273,C13H13N3,0.721,211.1126,,FBF,69.74,FBF,,,
274,C16H16N2O4,1.344,300.112,,FBF,64.15,FBF,,,
275,C10H9Cl4O4P,0.409,363.8998,,FBF,58.12,FBF,,,
276,C12H19N2O2,8.102,223.1442,,FBF,80.68,FBF,,,
277,C26H36N2O3,4.854,424.2723,,FBF,59.3,FBF,,,
278,C23H30N2,12.781,334.2404,,FBF,53.14,FBF,,,
279,C27H38N2O4,7.92,454.2818,,FBF,66.12,FBF,,,
280,C11H15N3O2,0.435,221.1154,,FBF,90.72,FBF,,,
281,C12H18N2O2,20.759,222.1365,,FBF,56.74,FBF,,,
282,C14H22O,8.986,206.1652,,FBF,68.23,FBF,,,
283,C14H22O2,6.984,222.1598,,FBF,52.86,FBF,,,
284,C15H24O,10.311,220.1814,,FBF,58.26,FBF,,,
285,C11H16O2,5.14,180.1138,,FBF,73.68,FBF,,,
286,C9H12O,0.409,136.0889,,FBF,83.88,FBF,,,
287,C22H34O4,5.01,362.2452,,FBF,58.02,FBF,,,
288,C20H30O6,4.671,366.202,,FBF,67.08,FBF,21727273.0,15.77,4512959.0
289,C20H26O4,7.478,330.1859,,FBF,58.85,FBF,7884266.0,5.72,2200961.0
290,C20H30O4,4.255,334.2156,,FBF,59.0,FBF,,,
291,C26H42O4,15.042,418.3109,,FBF,64.73,FBF,,,
292,C30H50O4,19.148,474.3748,,FBF,51.51,FBF,,,
293,C18H26O4,13.379,306.1815,,FBF,59.19,FBF,,,
294,C16H20O6,5.192,308.1271,,FBF,55.91,FBF,,,
295,C16H22O5,7.426,294.1459,,FBF,77.34,FBF,,,
296,C16H20O5,8.31,292.1294,,FBF,85.34,FBF,,,
297,C15H20O4,6.179,264.1343,,FBF,53.99,FBF,,,
298,C18H24O6,5.062,336.1554,,FBF,66.49,FBF,,,
299,C17H24O4,5.607,292.1652,,FBF,50.32,FBF,,,
300,C17H22O5,6.777,306.1461,,FBF,55.24,FBF,,,
301,C13H16O4,6.413,236.1044,,FBF,63.83,FBF,,,
302,C15H18N4,5.685,254.1508,,FBF,77.8,FBF,,,
303,C24H26N6O3,5.555,446.2056,,FBF,61.68,FBF,,,
304,C18H18O3,2.279,282.1268,,FBF,74.3,FBF,,,
305,C12H3Cl7,14.393,391.8026,,FBF,51.03,FBF,,,
306,C20H21N,8.284,275.1672,,FBF,53.83,FBF,,,
307,C19H21N,7.01,263.1677,,FBF,76.12,FBF,,,
308,C6H4Cl2O,0.669,161.965,,FBF,64.37,FBF,,,
309,C10H10Cl2O3,5.348,248.0017,,FBF,58.69,FBF,,,
310,C13H15Cl2NO,1.889,271.0546,,FBF,50.22,FBF,,,
311,C13H16ClNO,1.941,237.0931,,FBF,56.87,FBF,,,
313,C21H24Cl2O4,7.244,410.105,,FBF,69.34,FBF,1655591.0,1.2,404359.0
314,C9H10,0.383,118.0788,,FBF,73.56,FBF,3497639.0,2.54,966956.0
315,C15H10O2,7.27,222.0679,,FBF,81.0,FBF,,,
316,C20H28O7,13.353,380.1838,,FBF,58.93,FBF,,,
317,C15H20O3,6.231,248.1407,,FBF,73.06,FBF,,,
318,C14H18O2,0.409,218.1305,,FBF,77.16,FBF,,,
319,C19H14O5,7.998,322.0815,,FBF,58.27,FBF,,,
320,C11H8O3,0.409,188.0456,,FBF,68.62,FBF,,,
321,C10H10O2,9.48,162.0671,,FBF,83.02,FBF,,,
322,C11H10O,0.409,158.0716,,FBF,74.28,FBF,,,
323,C19H21NO7S,7.244,407.1022,,FBF,92.0,FBF,1655591.0,1.2,404359.0
324,C34H42N2O4,6.101,542.3126,,FBF,60.3,FBF,,,
325,C21H25N,8.908,291.1984,,FBF,63.73,FBF,,,
326,C10H8O3,7.088,176.047,,FBF,85.09,FBF,,,
327,C12H8N2,1.422,180.0697,,FBF,88.32,FBF,,,
328,C16H22N2,4.541,242.1782,,FBF,72.72,FBF,27697614.0,20.1,4488337.0
329,C12H16O4,3.631,224.1035,,FBF,68.74,FBF,,,
330,C11H14O4,4.802,210.0891,,FBF,86.57,FBF,,,
331,C9H12O3,7.218,168.0794,,FBF,85.13,FBF,,,
332,C15H22N2O4,21.304,294.1596,,FBF,50.73,FBF,,,
333,C6H5ClO3,12.885,159.9939,,FBF,52.76,FBF,,,
334,C6H4Cl2O2,12.053,177.959,,FBF,63.05,FBF,,,
335,C8H10O5S,1.448,218.024,,FBF,71.86,FBF,,,
336,C6H2Cl4O,10.519,229.8847,,FBF,52.81,FBF,,,
338,C6H4Br2O,12.287,249.8625,,FBF,52.43,FBF,,,
339,C16H24O8,4.281,344.1489,,FBF,78.7,FBF,65500642.0,47.53,8732868.0
340,C14H20O9,2.149,332.1102,,FBF,57.73,FBF,,,
341,C9H12O4,16.784,184.0737,,FBF,76.57,FBF,,,
342,C17H26O3,6.647,278.187,,FBF,58.89,FBF,,,
343,C6H4N2O5,0.409,184.0136,,FBF,57.25,FBF,,,
344,C18H30O,11.455,262.2284,,FBF,68.23,FBF,,,
345,C14H18O7,5.607,298.1032,,FBF,69.63,FBF,,,
346,C13H20O2,8.024,208.146,,FBF,85.45,FBF,,,
347,C17H12O5,7.348,296.0683,,FBF,85.25,FBF,,,
348,C17H26O4,13.587,294.1843,,FBF,72.12,FBF,,,
349,C14H22N2O3,8.908,266.1656,,FBF,75.53,FBF,,,
350,C22H30N2O3,8.57,370.2243,,FBF,67.04,FBF,,,
351,C13H19NO3S,6.906,269.1097,,FBF,53.62,FBF,,,
352,C19H24N4O2,6.802,340.1873,,FBF,53.56,FBF,,,
353,C14H18ClN3O2,10.207,295.1088,,FBF,50.75,FBF,,,
354,C17H24O3,7.452,276.1714,,FBF,70.84,FBF,,,
355,C18H27NO2,22.239,289.2033,,FBF,52.46,FBF,,,
356,C11H14N2O2,13.353,206.1056,,FBF,77.78,FBF,,,
357,C17H27NO2,6.984,277.2021,,FBF,68.66,FBF,,,
358,C12H21NO17S2,5.555,515.023,,FBF,50.12,FBF,,,
359,C12H23NO10,8.96,341.1318,,FBF,74.68,FBF,,,
360,C12H22O11,0.409,342.1164,,FBF,94.42,FBF,,,
361,C12H20O10,0.409,324.1051,,FBF,76.77,FBF,,,
362,C11H17NO7,8.31,275.1025,,FBF,70.9,FBF,,,
363,C11H19NO6,5.893,261.1231,,FBF,70.35,FBF,,,
364,C10H17NO6,6.828,247.1047,,FBF,67.29,FBF,,,
365,C16H27NO11,7.244,409.1578,,FBF,96.83,FBF,1655591.0,1.2,404359.0
366,C16H25NO10,3.007,391.1498,,FBF,74.22,FBF,135352463.0,98.21,8155244.0
367,C14H20O7,4.125,300.1219,,FBF,72.22,FBF,,,
368,C12H16O7,3.085,272.087,,FBF,60.49,FBF,,,
369,C8H16N2O7,2.617,252.0967,,FBF,70.8,FBF,,,
370,C10H15NO7,5.01,261.0834,,FBF,69.24,FBF,,,
371,C11H18O9,5.503,294.0956,,FBF,83.75,FBF,,,
372,C9H18O8,1.76,254.0982,,FBF,73.21,FBF,,,
373,C10H18N2O5,6.802,246.1217,,FBF,71.29,FBF,,,
374,C6H13NO5,1.448,179.0783,,FBF,76.81,FBF,,,
375,C23H43N5O14,4.125,613.2823,,FBF,91.85,FBF,,,
376,C6H13NO6,4.359,195.0759,,FBF,72.32,FBF,,,
377,C8H15NO7,5.114,237.0858,,FBF,78.16,FBF,,,
378,C9H17NO7,3.371,251.1013,,FBF,72.83,FBF,,,
379,C8H15NO6,5.374,221.0895,,FBF,75.77,FBF,,,
380,C8H13NO7,2.617,235.0701,,FBF,70.8,FBF,,,
381,C8H17NO6,6.439,223.1077,,FBF,60.28,FBF,,,
382,C11H19NO8,5.4,293.1112,,FBF,85.71,FBF,,,
383,C11H20NO11P,9.844,373.077,,FBF,50.88,FBF,,,
